"Scenario","N","P","Rho","Model","Mean_RMSE","SD_RMSE","QRMSE_90","ERisk","TopOne"
"S1",150,30,0.2,"XGB",1.9396569854987,0.0587010278748648,2.01628638169959,0.43971007542088,0
"S1",500,30,0.2,"OLS",1.54891326455132,0.0157843649989945,1.56940760279971,0.0492676069149815,0.004
"S1",500,30,0.2,"Ridge",1.55560320112875,0.016703700861138,1.57671380963034,0.0559575434924103,0
"S1",500,30,0.2,"LASSO",1.5217634462899,0.0145767740879724,1.54150450409161,0.0221177886535624,0.89
"S1",500,30,0.2,"ENet",1.52571990311153,0.0147856926861186,1.54501547717028,0.0260742454751873,0.106
"S1",500,30,0.2,"BART",1.72488635244844,0.0336446123944017,1.76945308916498,0.225240694812099,0
"S1",500,30,0.2,"RF",1.91300931311103,0.0343678832760084,1.95509752948802,0.413363655474692,0
"S1",500,30,0.2,"XGB",1.70974201632609,0.0231486948203865,1.73790425298968,0.210096358689753,0
"S1",35,30,0.6,"OLS",4.77239989813871,2.15844939645155,6.79977079418404,3.27314915239466,0
"S1",35,30,0.6,"Ridge",2.33360830037307,0.0946414804629679,2.447900483646,0.83435755462902,0.002
"S1",35,30,0.6,"LASSO",1.858570393371,0.167983406699018,2.07021414660477,0.359319647626956,0.72
"S1",35,30,0.6,"ENet",1.88798634821018,0.176554264989712,2.09262868790945,0.38873560246613,0.274
"S1",35,30,0.6,"BART",2.3174122866377,0.156854251143063,2.49742533413822,0.81816154089365,0
"S1",35,30,0.6,"RF",2.24153997320836,0.104497027431763,2.38223214000579,0.742289227464311,0.004
"S1",35,30,0.6,"XGB",2.3230993901968,0.161193038121361,2.53537288541324,0.823848644452755,0
"S1",75,30,0.6,"OLS",1.97026071098886,0.138955839515959,2.14852005942345,0.47044227744892,0
"S1",75,30,0.6,"Ridge",1.81845593521648,0.0834700312962357,1.92693748332489,0.318637501676543,0.006
"S1",75,30,0.6,"LASSO",1.66949524769051,0.080435468726474,1.77272936682121,0.169676814150569,0.762
"S1",75,30,0.6,"ENet",1.685508460856,0.0836339347685704,1.79374074453427,0.185690027316061,0.232
"S1",75,30,0.6,"BART",2.11344128155131,0.126835740535171,2.26991519938599,0.613622848011377,0
"S1",75,30,0.6,"RF",2.07088188904947,0.0664270983069249,2.1554422043224,0.571063455509539,0
"S1",75,30,0.6,"XGB",2.06304490159466,0.0825397840639472,2.17516127267451,0.563226468054728,0
"S1",150,30,0.6,"OLS",1.68177397995261,0.0488605696508569,1.74880774101736,0.181769878711354,0.008
"S1",150,30,0.6,"Ridge",1.65904222870569,0.0447181756265049,1.71887636273177,0.159038127464426,0
"S1",150,30,0.6,"LASSO",1.57496662599267,0.037910981428063,1.62656358684999,0.0749625247514069,0.838
"S1",150,30,0.6,"ENet",1.584619333168,0.0387836186379906,1.63308095517775,0.0846152319267452,0.154
"S1",150,30,0.6,"BART",1.91860277285878,0.0755954843478774,2.01848303287779,0.418598671617521,0
"S1",150,30,0.6,"RF",1.94726162840517,0.0475947661015773,2.00924004756484,0.447257527163909,0
"S1",150,30,0.6,"XGB",1.88772517089171,0.0534635603577593,1.96514494348278,0.387721069650453,0
"S1",500,30,0.6,"OLS",1.54810232302568,0.016706589589019,1.56751740530293,0.0486317655814323,0.012
"S1",500,30,0.6,"Ridge",1.56234093231897,0.0178094727631881,1.58508778164592,0.0628703748747237,0
"S1",500,30,0.6,"LASSO",1.52140859620869,0.0144970052676344,1.54042752714181,0.0219380387644416,0.844
"S1",500,30,0.6,"ENet",1.5246922507422,0.0146087039821878,1.54311877079043,0.0252216932979572,0.144
"S1",500,30,0.6,"BART",1.72058084777843,0.0323188346976263,1.76482790360357,0.22111029033418,0
"S1",500,30,0.6,"RF",1.79144493563,0.0235272931352295,1.82149932629568,0.291974378185754,0
"S1",500,30,0.6,"XGB",1.69019589939555,0.023432879857758,1.7216677713336,0.190725341951299,0
"S1",35,30,0.85,"OLS",4.57183629574381,1.67487307810388,6.51099009371659,3.07189000035963,0
"S1",35,30,0.85,"Ridge",1.95334918675289,0.0891508752350818,2.0582042836502,0.453402891368702,0.036
"S1",35,30,0.85,"LASSO",1.76660154226404,0.129738004343685,1.92540409647323,0.266655246879848,0.574
"S1",35,30,0.85,"ENet",1.77480141967822,0.126351489872523,1.92902028076285,0.27485512429403,0.36
"S1",35,30,0.85,"BART",2.02532186017964,0.0859498716467063,2.1359332521791,0.525375564795453,0.002
"S1",35,30,0.85,"RF",1.93648588193992,0.0787496960013205,2.03950904423209,0.436539586555727,0.028
"S1",35,30,0.85,"XGB",2.10472024411639,0.127081035069106,2.27951946804696,0.604773948732197,0
"S1",75,30,0.85,"OLS",1.95900824293095,0.134802004223229,2.13624780029137,0.459308727111151,0
"S1",75,30,0.85,"Ridge",1.71449058473573,0.0529552356907156,1.78300262862683,0.214791068915935,0.02
"S1",75,30,0.85,"LASSO",1.64235717857957,0.0668192668094798,1.72363186088828,0.14265766275978,0.684
"S1",75,30,0.85,"ENet",1.64883453836481,0.0627641512720814,1.72113232675028,0.14913502254502,0.296
"S1",75,30,0.85,"BART",1.93724541428293,0.0699670609722676,2.03111983527526,0.437545898463136,0
"S1",75,30,0.85,"RF",1.84584002053673,0.0489214267790842,1.90632337962088,0.346140504716939,0
